"","Index","Sentiment","Mixed","Negative","Neutral","Positive"
"1",0,"NEGATIVE",0.113298013806343,0.750413477420807,0.077870287001133,0.0584182851016521
"2",1,"POSITIVE",0.00194961193483323,0.000634234282188118,0.00488478410989046,0.992531478404999
"3",2,"NEGATIVE",1.16660730782314e-05,0.999519467353821,0.000397899013478309,7.10038584657013e-05
"4",3,"NEGATIVE",0.175406560301781,0.781516969203949,0.0158555544912815,0.0272209029644728
"5",4,"POSITIVE",0.000443911470938474,0.00011914104106836,0.00534803979098797,0.994089007377625
