"","Index","Sentiment","Mixed","Negative","Neutral","Positive"
"1",0,"NEGATIVE",1.134012836701e-05,0.999567329883575,0.000313969590933993,0.000107348212623037
"2",1,"MIXED",0.968718707561493,0.0102771874517202,0.000487745419377461,0.0205162670463324
"3",2,"MIXED",0.921626448631287,0.064569354057312,0.00110149756073952,0.0127026680856943
"4",3,"MIXED",0.664545178413391,0.00738368695601821,0.00493416795507073,0.323137015104294
"5",4,"MIXED",0.850243508815765,0.0365328937768936,0.0008914367062971,0.112332105636597
