"","Index","Sentiment","Mixed","Negative","Neutral","Positive"
"1",0,"POSITIVE",0.000663073675241321,8.55592516018078e-05,0.000281776476185769,0.998969674110413
"2",1,"POSITIVE",0.0464976392686367,0.00125136005226523,0.000501092523336411,0.951749980449677
"3",2,"POSITIVE",0.0163782350718975,0.000953906099312007,0.00338704860769212,0.979280889034271
"4",3,"POSITIVE",0.000125989114167169,2.74497888312908e-05,0.000850592507049441,0.998996078968048
"5",4,"POSITIVE",3.18177735607605e-05,4.2297069740016e-05,0.00509535847231746,0.994830548763275
