"","Index","Sentiment","Mixed","Negative","Neutral","Positive"
"1",0,"POSITIVE",0.00328752119094133,7.07208237145096e-05,0.00183541746810079,0.994806349277496
"2",1,"POSITIVE",9.83231875579804e-05,3.66931744792964e-05,0.00124556943774223,0.998619437217712
"3",2,"POSITIVE",0.00170193507801741,0.00025814920081757,0.0141802160069346,0.983859658241272
"4",3,"POSITIVE",0.454305708408356,0.0246461313217878,0.00974335893988609,0.51130473613739
"5",4,"POSITIVE",0.00013600209786091,3.27580710290931e-05,0.00123268936295062,0.998598515987396
